id,d1,startaca,aca,endaca,m4all,endm4all,startq1,q1a,q1b,q1c,q1d,q1e,q1f,q2a,q2b,q2c,q2d,q2e,q11,endq2,startq3,q3a,q3b,q4,q5,q6,q7,endq7,startq8,q8a,q8b,q8c,q8d,q8e,q8f,q8g,q8h,endq8,partystart,party,partylean,party3,party5,q9,q10,endq11,startq12,q12a,q12b,q12c,q13,endq13,startq14,q14,q15,q16,q17,q18,q23,endq18,startdemos,rsex,gendervar,age,age2,recage,recage2,recage3,coverage,agecov,covtype,covtypeot,agecovtype,covself,covselfot,covmkt,q19,q20,starthealth,health,rechealth,rechealth2,prexa,endprx,startmarital,marital,employ,recemploy,employend,rvotestart,ideology,rvote,trumpapprove,trumpapprove2,trumpend,religstart,educ,receduc,receduc2,receduc3,hispanic,race,raceot,racethn,nativity,racethn2,income,recincome,endincome,startcell,cell,hhcell,landline,hhadults,moneystart,int,endint,timeend,cstate,cregion,density,intvwdate,inteview_length,sample07,sample10,sstate,sregion,sdivision,stz,sample17,sample19,sample240,sample,exchangstat,stateexpmedi,gvnrexpmedi,waiver,wt1,weight,standwt,weight_ssrs,lang,Division,changesex,iphoneuse,hphoneuse,state1,halfsamp,halfsamp2,state,sample239,sample241,USR
10000206,Male,32,Very unfavorable,62,Strongly oppose,86,86,Important but not a top priority,Top priority,Important but not a top priority,Important but not a top priority,Should not be done,Important but not a top priority,Very negative,Very negative,Somewhat negative, ,Somewhat positive,The federal government should allow insurance companies to sell these types of plans,287,287,Very important, ,Not too worried,Somewhat worried, ,"No, do not want to see it overturned",398,398,Keep it about the same,Decrease spending,Increase spending, ,Decrease spending, ,Decrease spending, ,457,457,Republican, ,Republican/Independent lean Republican,REPUBLICAN,Support, ,510,510,"Yes, should take action","Yes, should take action","Yes, should take action",Both,630,630,Too much,"Major role, but not leading", ,About the same, ,"The U.S. should participate in international efforts, so other countries will do their fair share and efforts will be be",726,726,Male,MALE,63, ,18-64,50-64,55-64,Covered by health insurance,INSURED LESS THAN 65,Plan through your employer, ,Employer, , , ,No, ,795,Very good,EXCELLENT/VERY GOOD,E/VG/G,"Yes, someone in household has pre-existing condition",825,825,Married,Employed full-time,EMPLOYED,853,853,Conservative,Yes,Strongly approve,STRONGLY APPROVE/SOMEWHAT APPROVE,882,882,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",COLLEGE +,COLLEGE +,COLLEGE +,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","$100,000 or more",$90K+,942,942,"Yes, have cell phone", , ,2,1006,Yes,1036,1036,Illinois,North Central,Highest,190415,17.2,RDD,18000287,Illinois,North Central,East North Central,C, ,Urban- Center City County (Metro), ,landline,Partnership,Yes,Yes - Democratic/Independent,No,.7886,1.9604,.5002,.6018,English,East North Central,sex = rsex,Dual,Dual HH,ILLINOIS,A,D,1,1,1,Suburban
10000209,Female,29,Somewhat favorable,53,Somewhat favor,85,85,Top priority,Top priority,Top priority,Top priority,Important but not a top priority,Top priority, ,Somewhat positive,Somewhat negative,Very positive, ,The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,267,267, ,Very important,Very worried,Very worried, ,"Yes, overturn",355,355,Increase spending,Keep it about the same, ,Increase spending, ,Increase spending, ,Increase spending,406,406,Democrat, ,Democrat/Independent lean Democrat,DEMOCRAT, ,Improving and protecting the 2010 Affordable Care Act,432,432,"Yes, should take action","Yes, should take action","Yes, should take action",Both,538,538,Too little, ,"Major role, but not leading", ,Higher priority,"The U.S. should participate in international efforts, so other countries will do their fair share and efforts will be be",624,624,Female,FEMALE,78, ,65+,65+,65+,Covered by health insurance, ,Medicare, , , , , , , ,744,Very good,EXCELLENT/VERY GOOD,E/VG/G,"Yes, someone in household has pre-existing condition",779,779,Widowed,Retired,RETIRED,812,812,Moderate,Yes,Strongly disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,840,840,High school incomplete (Grades 9-11 or Grade 12 with no diploma),LESS THAN HIGH SCHOOL,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","Less than $20,000",LESS THAN $40K,890,890,"Yes, have cell phone", , ,2,937,Yes,1024,1024,Pennsylvania,Northeast,2,190415,17.1,RDD,18003876,Pennsylvania,Northeast,Mid Atlantic,E, ,Urban- Center City (Metro), ,landline,Federal,Yes,Yes - Democratic/Independent,No,.7886,3.5618,.9089,1.0934,English,Mid Atlantic,sex = rsex,Dual,Dual HH,PENNSYLVANIA,B,D,1,1,1,Urban
10000212,Female,67,Very favorable,89,Strongly favor,120,120,Should not be done,Not too important,Top priority,Top priority,Should not be done,Top priority, ,Very positive,Very positive,Very positive, ,The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,346,346, ,Very important,Very worried,Very worried,"Yes, overturn", ,440,440,Keep it about the same,Increase spending, ,Increase spending, ,Increase spending, ,Keep it about the same,485,485,Republican, ,Republican/Independent lean Republican,REPUBLICAN,Support, ,518,518,"Yes, should take action","Yes, should take action","Yes, should take action",Both,659,659,Too little, ,Leading role, ,About right,"The U.S. should operate on its own, so the U.S. has more control over how the money is spent and gets more credit and in",751,751,Female,FEMALE,63, ,18-64,50-64,55-64,Covered by health insurance,INSURED LESS THAN 65,MEDICAID, ,Medicaid/State-specific Medicaid name, , , ,No, ,824,Poor,ONLY FAIR/POOR,OF/P,"Yes, someone in household has pre-existing condition",865,865,Never been married,On disability and can't work,ON DISABILITY AND CAN'T WORK,884,884,Moderate,Yes,Somewhat approve,STRONGLY APPROVE/SOMEWHAT APPROVE,923,923,High school graduate (Grade 12 with diploma or GED certificate),HIGH SCHOOL GRADUATE,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","Less than $20,000",LESS THAN $40K,960,960,"No, do not",No, ,1,1069,Yes,1118,1118,Massachusetts,Northeast,3,190415,18.3,RDD,19002436,Massachusetts,Northeast,New England,E, ,Urban- Center City County (Metro), ,landline,State,Yes,Yes - Republican Governor,No,1.4422,3.3029,.8428,1.0139,English,New England,sex = rsex,LLO,LLO HH,MASSACHUSETTS,B,C,1,1,1,Suburban
10000217,Male,92,Very unfavorable,111,Strongly oppose,130,130,Top priority,Should not be done,Should not be done,Important but not a top priority,Should not be done,Should not be done,Very negative,Very negative,Very negative, ,Very negative,The federal government should allow insurance companies to sell these types of plans,336,336,Not at all important, ,Not too worried,Not too worried, ,"Yes, overturn",459,459,Decrease spending,Decrease spending,Increase spending, ,Decrease spending, ,Decrease spending, ,507,507,Independent,Independent/don't lean to either party (VOL.),Pure Independents,INDEPENDENT/DON'T LEAN, , ,529,529,"No, should not take action","No, should not take action","No, should not take action",Government shouldn't take action,649,649,Too much,"Major role, but not leading", ,About the same, ,Refused,760,760,Male,MALE,28, ,18-64,18-29,25-34,Covered by health insurance,INSURED LESS THAN 65,Plan through your employer, ,Employer, , , ,No, ,846,Poor,ONLY FAIR/POOR,OF/P,"Yes, someone in household has pre-existing condition",878,878,Married,Employed full-time,EMPLOYED,926,926,Conservative,Yes,Somewhat approve,STRONGLY APPROVE/SOMEWHAT APPROVE,965,965,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,Yes,White, ,HISPANIC,Another country,HISPANIC - BORN OUTSIDE OF US,"$30,000 to less than $40,000",LESS THAN $40K,1047,1047,"Yes, have cell phone", , ,2,1096,Yes,1387,1387,Georgia,South,3,190415,22.9,RDD,19003224,Georgia,South,South Atlantic,E, ,Urban- Center City (Metro), ,landline,Federal,No/Maybe,No/Maybe,No,.7886,2.4778,.6323,.7606,English,South Atlantic,sex = rsex,Dual,Dual HH,GEORGIA,A,D,1,1,1,Suburban
10000219,Female,59,Very unfavorable,81,Somewhat oppose,104,104,Top priority,Top priority,Should not be done,Should not be done,Should not be done,Should not be done,Very negative,Very negative,Very negative, ,Very negative,The federal government should allow insurance companies to sell these types of plans,369,369,Very important, ,Not at all worried,Not too worried,"Yes, overturn", ,533,533,Keep it about the same,Don't Know,Don't Know, ,Don't Know, ,Decrease spending, ,626,626,Independent,Republican,Republican/Independent lean Republican,INDEPENDENT LEAN REP,Support, ,759,759,"Yes, should take action","Yes, should take action","Yes, should take action",Don't Know,1011,1011,Too much,Leading role, ,Don't Know, ,"The U.S. should operate on its own, so the U.S. has more control over how the money is spent and gets more credit and in",1112,1112,Female,FEMALE,79, ,65+,65+,65+,Covered by health insurance, ,Medicare, , , , , , , ,1152,Good,GOOD,E/VG/G,"Yes, someone in household has pre-existing condition",1184,1184,Divorced,Employed full-time,EMPLOYED,1225,1225,Conservative,Yes,Somewhat approve,STRONGLY APPROVE/SOMEWHAT APPROVE,1269,1269,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",COLLEGE +,COLLEGE +,COLLEGE +,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","$100,000 or more",$90K+,1319,1319,"Yes, have cell phone", , ,1,1381,Yes,1460,1460,Missouri,North Central,3,190415,24.1,RDD,18000163,Missouri,North Central,West North Central,C, ,Urban- Center City (Metro), ,landline,Federal,No/Maybe,No/Maybe,No,.6193,1,.2552,.307,English,West North Central,sex = rsex,Dual,Dual HH,MISSOURI,A,C,1,1,1,Urban
10000220,Female,63,Somewhat favorable,90,Somewhat oppose,110,110,Don't Know,Important but not a top priority,Not too important,Top priority,Should not be done,Top priority,Don't Know,Somewhat positive,Very positive, ,Somewhat negative,The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,298,298,Very important, ,Somewhat worried,Somewhat worried,"No, do not want to see it overturned", ,382,382,Increase spending,Increase spending,Keep it about the same, ,Keep it about the same, ,Keep it about the same, ,440,440,Independent,Independent/don't lean to either party (VOL.),Pure Independents,INDEPENDENT/DON'T LEAN, , ,456,456,"Yes, should take action","Yes, should take action","Yes, should take action",Both,552,552,Too much,"Major role, but not leading", ,About the same, ,"The U.S. should participate in international efforts, so other countries will do their fair share and efforts will be be",643,643,Female,FEMALE,86, ,65+,65+,65+,Covered by health insurance, ,Medicare, , , , , , , ,681,Very good,EXCELLENT/VERY GOOD,E/VG/G,"Yes, someone in household has pre-existing condition",703,703,Widowed,Retired,RETIRED,728,728,Conservative,Yes,Strongly disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,750,750,High school graduate (Grade 12 with diploma or GED certificate),HIGH SCHOOL GRADUATE,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","$20,000 to less than $30,000",LESS THAN $40K,783,783,"Yes, have cell phone", , ,2,812,Yes,839,839,Texas,South,Highest,190415,13.8,RDD,18004882,Texas,South,West South Central,C, ,Urban- Center City (Metro), ,landline,Federal,No/Maybe,No/Maybe,No,.7886,4.4252,1.1292,1.3584,English,West South Central,sex = rsex,Dual,Dual HH,TEXAS,A,C,1,1,1,Urban
10000221,Female,82,Very unfavorable,107,Strongly oppose,125,125,Important but not a top priority,Important but not a top priority,Should not be done,Important but not a top priority,Should not be done,Important but not a top priority,Somewhat negative,Very negative,Somewhat negative, ,Very negative,The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,372,372,Somewhat important, ,Not at all worried,Not too worried, ,"No, do not want to see it overturned",493,493,Keep it about the same,Keep it about the same,Increase spending, ,Decrease spending, ,Keep it about the same, ,560,560,Democrat, ,Democrat/Independent lean Democrat,DEMOCRAT, ,Improving and protecting the 2010 Affordable Care Act,595,595,"Yes, should take action","Yes, should take action","Yes, should take action",Both,735,735,Too much,No role at all, ,Lower priority, ,"The U.S. should operate on its own, so the U.S. has more control over how the money is spent and gets more credit and in",855,855,Female,FEMALE,60, ,18-64,50-64,55-64,Covered by health insurance,INSURED LESS THAN 65,Plan through your spouse's employer, ,Spouse's employer, , , ,Yes,Some other reason,959,Good,GOOD,E/VG/G,"No, no one in household has pre-existing condition",1016,1016,Married,Retired,RETIRED,1048,1048,Conservative,Yes,Somewhat disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,1082,1082,High school graduate (Grade 12 with diploma or GED certificate),HIGH SCHOOL GRADUATE,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","$50,000 to less than $75,000",$40K-$89K,1147,1147,"Yes, have cell phone", , ,2,1189,Yes,1227,1227,Texas,South,2,190415,19.9,RDD,18005048,Texas,South,West South Central,C, ,Urban- Center City (Metro), ,landline,Federal,No/Maybe,No/Maybe,No,.7886,5.0532,1.2894,1.5512,English,West South Central,sex = rsex,Dual,Dual HH,TEXAS,A,D,1,1,1,Suburban
10000224,Female,66,Very unfavorable,99,Strongly oppose,128,128,Important but not a top priority,Important but not a top priority,Should not be done,Should not be done,Should not be done,Important but not a top priority, ,Very negative,Very negative,Somewhat negative, ,The federal government should allow insurance companies to sell these types of plans,372,372, ,Somewhat important,Not too worried,Not at all worried, ,Don't Know,518,518,Keep it about the same,Keep it about the same, ,Increase spending, ,Keep it about the same, ,Decrease spending,576,576,Independent,Independent/don't lean to either party (VOL.),Pure Independents,INDEPENDENT/DON'T LEAN, , ,598,598,"No, should not take action","No, should not take action","No, should not take action",Both,726,726,About the right amount, ,Minor role, ,About right,"The U.S. should participate in international efforts, so other countries will do their fair share and efforts will be be",831,831,Female,FEMALE,80, ,65+,65+,65+,Covered by health insurance, ,Medicare, , , , , , , ,895,Very good,EXCELLENT/VERY GOOD,E/VG/G,"No, no one in household has pre-existing condition",931,931,Never been married,Retired,RETIRED,956,956,Moderate,Yes,Strongly approve,STRONGLY APPROVE/SOMEWHAT APPROVE,1014,1014,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",COLLEGE +,COLLEGE +,COLLEGE +,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","$50,000 to less than $75,000",$40K-$89K,1079,1079,"Yes, have cell phone", , ,2,1134,Yes,1192,1192,Hawaii,West,4,190415,19.7,RDD,18009349,Hawaii,West,Pacific,H, ,Urban- Center City (Metro), ,landline,Federal,Yes,Yes - Democratic/Independent,No,.7886,1.4106,.3599,.433,English,AK/HI,sex = rsex,Dual,Dual HH,HAWAII,B,D,1,1,1,Suburban
10000226,Male,30,Very favorable,70,Strongly favor,127,127,Should not be done,Top priority,Should not be done,Top priority,Should not be done,Top priority, ,Very positive,Very positive,Very positive, ,Don't Know,300,300, ,Very important,Not at all worried,Not at all worried,"No, do not want to see it overturned", ,374,374,Increase spending,Increase spending, ,Increase spending, ,Keep it about the same, ,Increase spending,444,444,Or what?,Don't Know,Undesignated,UNDESIGNATED, , ,491,491,"Yes, should take action","Yes, should take action","Yes, should take action",Doctor or provider,633,633,About the right amount, ,"Major role, but not leading", ,Lower priority,"The U.S. should participate in international efforts, so other countries will do their fair share and efforts will be be",716,716,Male,MALE,99,65+,65+,65+,65+,Covered by health insurance, ,Medicare, , , , , , , ,800,Good,GOOD,E/VG/G,"No, no one in household has pre-existing condition",830,830,Married,Employed part-time,EMPLOYED,862,862,Moderate,Yes,Strongly disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,894,894,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",COLLEGE +,COLLEGE +,COLLEGE +,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","$100,000 or more",$90K+,949,949,"Yes, have cell phone", , ,2,992,Yes,1017,1017,Virginia,South,3,190416,16.9,RDD,19001604,Virginia,South,South Atlantic,E, ,Suburban (Metro), ,landline,Federal,Yes,Yes - Democratic/Independent,No,.7886,1.3952,.356,.4283,English,South Atlantic,sex = rsex,Dual,Dual HH,VIRGINIA,B,C,1,1,1,Suburban
10000227,Female,59,Don't Know,88,Don't Know,161,161,Important but not a top priority,Important but not a top priority,Don't Know,Top priority,Don't Know,Top priority, ,Somewhat negative,Somewhat positive,Don't Know, ,The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,765,765, ,Very important,Very worried,Very worried, ,Don't Know,924,924,Increase spending,Keep it about the same, ,Don't Know, ,Don't Know, ,Increase spending,1230,1230,Don't Know,Democratic,Democrat/Independent lean Democrat,INDEPENDENT/LEAN DEM, ,Improving and protecting the 2010 Affordable Care Act,1308,1308,Don't Know,"Yes, should take action",Don't Know,Both,1649,1649,Too much, ,No role at all, ,About right,Don't Know,1936,1936,Female,FEMALE,71, ,65+,65+,65+,Covered by health insurance, ,Medicare, , , , , , , ,2008,Only fair,ONLY FAIR/POOR,OF/P,"Yes, someone in household has pre-existing condition",2189,2189,Married,"Or, a homemaker or stay at home parent?",A HOMEMAKER OR STAY AT HOME PARENT,2288,2288,Moderate,Yes,Strongly disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,2369,2369,Less than high school (Grades 1-8 or no formal schooling),LESS THAN HIGH SCHOOL,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,Yes,White, ,HISPANIC,U.S.,HISPANIC - BORN IN US,"Less than $20,000",LESS THAN $40K,2470,2470,"Yes, have cell phone", , ,2,2529,Yes,2568,2568,Texas,South,Lowest,190416,42.8,RDD,19003622,Texas,South,West South Central,C, ,Rural- Non-Metro, ,landline,Federal,No/Maybe,No/Maybe,No,.7886,3.2743,.8355,1.0051,English,West South Central,sex = rsex,Dual,Dual HH,TEXAS,B,D,1,1,1,Suburban
10000228,Male,63,Somewhat favorable,87,Somewhat favor,105,105,Should not be done,Top priority,Top priority,Top priority,Top priority,Top priority,Don't Know,Somewhat positive,Don't Know, ,Somewhat positive,The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,271,271,Very important, ,Very worried,Very worried, ,"No, do not want to see it overturned",361,361,Increase spending,Increase spending,Decrease spending, ,Decrease spending, ,Keep it about the same, ,404,404,Democrat, ,Democrat/Independent lean Democrat,DEMOCRAT, ,Improving and protecting the 2010 Affordable Care Act,432,432,"Yes, should take action","Yes, should take action","Yes, should take action",Insurance company,543,543,Too much,"Major role, but not leading", ,Lower priority, ,"The U.S. should participate in international efforts, so other countries will do their fair share and efforts will be be",625,625,Male,MALE,50, ,18-64,50-64,45-54,Covered by health insurance,INSURED LESS THAN 65,Plan through your employer, ,Employer, , , ,Yes,Not in the plan's network,703,Excellent,EXCELLENT/VERY GOOD,E/VG/G,"No, no one in household has pre-existing condition",730,730,Married,Employed full-time,EMPLOYED,753,753,Liberal,Yes,Somewhat disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,778,778,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",COLLEGE +,COLLEGE +,COLLEGE +,No,Black or African-American, ,"BLACK, NON-HISPANIC", ,"BLACK, NON-HISPANIC",Refused,DK/RF,818,818,"Yes, have cell phone", , ,3,863,Yes,925,925,Maryland,South,2,190416,15.2,RDD,18008871,Maryland,South,South Atlantic,E, ,Suburban (Metro), ,landline,State,Yes,Yes - Republican Governor,No,.8676,2.6813,.6842,.8231,English,South Atlantic,sex = rsex,Dual,Dual HH,MARYLAND,A,D,1,1,1,Suburban
10000230,Female,40,Very favorable,68,Strongly favor,92,92,Top priority,Important but not a top priority,Top priority,Important but not a top priority,Top priority,Top priority, ,Very positive,Somewhat positive,Very positive, ,The federal government should allow insurance companies to sell these types of plans,357,357, ,Somewhat important,Somewhat worried,Somewhat worried,"No, do not want to see it overturned", ,455,455,Increase spending,Increase spending, ,Increase spending, ,Increase spending, ,Keep it about the same,528,528,Democrat, ,Democrat/Independent lean Democrat,DEMOCRAT, ,Passing a national Medicare-for-all plan,558,558,"No, should not take action","Yes, should take action","Yes, should take action",Insurance company,675,675,Too much, ,"Major role, but not leading", ,Higher priority,"The U.S. should participate in international efforts, so other countries will do their fair share and efforts will be be",806,806,Female,FEMALE,75, ,65+,65+,65+,Covered by health insurance, ,Plan through your employer, , , , , , , ,862,Good,GOOD,E/VG/G,"No, no one in household has pre-existing condition",894,894,Married,Retired,RETIRED,924,924,Moderate,Yes,Strongly disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,952,952,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",COLLEGE +,COLLEGE +,COLLEGE +,No,Black or African-American, ,"BLACK, NON-HISPANIC", ,"BLACK, NON-HISPANIC","$30,000 to less than $40,000",LESS THAN $40K,1006,1006,"Yes, have cell phone", , ,1,1049,Yes,1084,1084,New York,Northeast,3,190416,18,RDD,18004177,New York,Northeast,Mid Atlantic,E, ,Urban- Center City (Metro), ,landline,State,Yes,Yes - Democratic/Independent,No,.6193,1.186,.3026,.3641,English,Mid Atlantic,sex = rsex,Dual,Dual HH,NEW YORK,B,C,1,1,1,Urban
10000231,Female,67,Very favorable,87,Strongly favor,122,122,Important but not a top priority,Top priority,Important but not a top priority,Top priority,Top priority,Top priority,Very positive,Very positive,Very positive, ,Very positive,The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,371,371,Very important, ,Very worried,Very worried,"No, do not want to see it overturned", ,479,479,Increase spending,Increase spending,Keep it about the same, ,Keep it about the same, ,Keep it about the same, ,591,591,Democrat, ,Democrat/Independent lean Democrat,DEMOCRAT, ,Passing a national Medicare-for-all plan,623,623,"Yes, should take action","Yes, should take action","Yes, should take action",Both,738,738,About the right amount,Minor role, ,Lower priority, ,"The U.S. should participate in international efforts, so other countries will do their fair share and efforts will be be",826,826,Female,FEMALE,85, ,65+,65+,65+,Covered by health insurance, ,Medicare, , , , , , , ,899,Only fair,ONLY FAIR/POOR,OF/P,"Yes, someone in household has pre-existing condition",956,956,Widowed,Retired,RETIRED,965,965,Moderate,Yes,Strongly disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,1003,1003,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","$100,000 or more",$90K+,1120,1120,"Yes, have cell phone", , ,1,1270,Yes,1311,1311,Maryland,South,Lowest,190416,21.7,RDD,18007951,Maryland,South,South Atlantic,E, ,Rural- Non-Metro, ,landline,State,Yes,Yes - Republican Governor,No,.6193,1.4361,.3665,.4409,English,South Atlantic,sex = rsex,Dual,Dual HH,MARYLAND,A,C,MARYLAND,1,1,Suburban
10000232,Female,60,Very favorable,98,Strongly favor,117,117,Should not be done,Top priority,Important but not a top priority,Important but not a top priority,Top priority,Top priority, ,Somewhat negative,Very positive,Somewhat positive, ,The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,354,354, ,Very important,Very worried,Very worried,"No, do not want to see it overturned", ,463,463,Increase spending,Increase spending, ,Increase spending, ,Increase spending, ,Increase spending,532,532,Democrat, ,Democrat/Independent lean Democrat,DEMOCRAT, ,Passing a national Medicare-for-all plan,573,573,"Yes, should take action","Yes, should take action","Yes, should take action",Insurance company,685,685,Too little, ,"Major role, but not leading", ,Higher priority,"The U.S. should participate in international efforts, so other countries will do their fair share and efforts will be be",783,783,Female,FEMALE,35, ,18-64,30-49,35-44,Covered by health insurance,INSURED LESS THAN 65,Plan you purchased yourself, ,Self-purchased plan,From (healthcare.gov or STATE SPECIFIC MARKETPLACE NAME), , ,No, ,876,Excellent,EXCELLENT/VERY GOOD,E/VG/G,"No, no one in household has pre-existing condition",908,908,Married,Employed full-time,EMPLOYED,942,942,Moderate,No,Strongly disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,971,972,High school graduate (Grade 12 with diploma or GED certificate),HIGH SCHOOL GRADUATE,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,No,Black or African-American, ,"BLACK, NON-HISPANIC", ,"BLACK, NON-HISPANIC","$50,000 to less than $75,000",$40K-$89K,1027,1027,"Yes, have cell phone", , ,4 or more,1115,Yes,1141,1141,Connecticut,Northeast,4,190416,19,RDD,18003318,Connecticut,Northeast,New England,E, ,Urban- Center City (Metro), ,landline,State,Yes,Yes - Democratic/Independent,No,.8676,8.8963,2.2701,2.7309,English,New England,sex = rsex,Dual,Dual HH,CONNECTICUT,B,C,1,1,1,Urban
10000233,Female,28,Very favorable,68,Somewhat favor,130,130,Important but not a top priority,Top priority,Important but not a top priority,Important but not a top priority,Important but not a top priority,Top priority,Somewhat negative,Somewhat positive,Somewhat negative, ,Somewhat positive,The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,414,414,Very important, ,Somewhat worried,Very worried,"No, do not want to see it overturned", ,517,517,Keep it about the same,Keep it about the same,Keep it about the same, ,Keep it about the same, ,Keep it about the same, ,596,596,Democrat, ,Democrat/Independent lean Democrat,DEMOCRAT, ,Improving and protecting the 2010 Affordable Care Act,624,625,"Yes, should take action","Yes, should take action","Yes, should take action",Both,752,752,About the right amount,Leading role, ,Lower priority, ,"The U.S. should participate in international efforts, so other countries will do their fair share and efforts will be be",851,851,Female,FEMALE,85, ,65+,65+,65+,Covered by health insurance, ,Medicare, , , , , , , ,928,Excellent,EXCELLENT/VERY GOOD,E/VG/G,"Yes, someone in household has pre-existing condition",962,962,Widowed,Unemployed and not seeking employment,UNEMPLOYED,1005,1005,Moderate,Yes,Strongly disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,1039,1039,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","Less than $20,000",LESS THAN $40K,1089,1089,"No, do not",No, ,1,1197,Yes,1224,1224,Maine,Northeast,Lowest,190416,20.4,RDD,18002730,Maine,Northeast,New England,E, ,Rural- Non-Metro, ,landline,Federal,Yes,Yes - Democratic/Independent,Yes,1.4422,1.2059,.3077,.3702,English,New England,sex = rsex,LLO,LLO HH,MAINE,A,C,1,1,1,Rural
10000234,Female,38,Very favorable,64,Don't Know,98,98,Should not be done,Top priority,Important but not a top priority,Important but not a top priority,Important but not a top priority,Top priority, ,Somewhat positive,Don't Know,Neutral/Neither positive or negative (Vol.), ,The federal government should allow insurance companies to sell these types of plans,337,337, ,Very important,Very worried,Very worried,"No, do not want to see it overturned", ,421,421,Increase spending,Increase spending, ,Increase spending, ,Increase spending, ,Decrease spending,501,501,Democrat, ,Democrat/Independent lean Democrat,DEMOCRAT, ,Refused,531,531,"Yes, should take action","Yes, should take action","Yes, should take action",Both,655,655,Too much, ,"Major role, but not leading", ,Refused,Both/Neither (Vol.),764,764,Female,FEMALE,57, ,18-64,50-64,55-64,Covered by health insurance,INSURED LESS THAN 65,Plan you purchased yourself, ,Self-purchased plan,From (healthcare.gov or STATE SPECIFIC MARKETPLACE NAME), , ,No, ,850,Excellent,EXCELLENT/VERY GOOD,E/VG/G,"Yes, someone in household has pre-existing condition",883,883,Never been married,Employed full-time,EMPLOYED,904,904,Moderate,Yes,Strongly disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,936,936,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",COLLEGE +,COLLEGE +,COLLEGE +,No,Other or mixed race,white black and asian,"OTHER, NON-HISPANIC", ,"OTHER, NON-HISPANIC","$30,000 to less than $40,000",LESS THAN $40K,1020,1020,"Yes, have cell phone", , ,1,1070,Yes,1090,1090,New York,Northeast,2,190416,18.1,RDD,18002880,New York,Northeast,Mid Atlantic,E, ,Urban- Center City (Metro), ,landline,State,Yes,Yes - Democratic/Independent,No,.6193,1.9783,.5048,.6073,English,Mid Atlantic,sex = rsex,Dual,Dual HH,NEW YORK,B,C,1,1,1,Suburban
